"Record ID","Survey Identifier","Survey Timestamp","STUDY TITLE: Household Items for Sexual Pleasure: Investigating Cost, Safety & Effectiveness of Alternative Sex ToysWe invite you to participate in a research study being conducted by investigators from The University of Chicago Medical Center. The purpose of the study is to understand what household items are used for sexual pleasure and assess their cost, effectiveness, and safety.If you agree to participate, we would like you to agree to consent and complete the screening questions before getting access to the full set of questions. You are free to skip any questions that you prefer not to answer. It will take approximately 15 minutes in total time.No personal health information or identifying information will be collected in this survey. To help protect your confidentiality, the surveys you complete will be encrypted on an online database. The only people that will have access to your responses will be the team members while collecting data from the surveys. Taking part in this research study is completely voluntary. If you do not wish to participate in this study, please select the appropriate acknowledgment below.For questions about your rights as a research subject, please contact the University of Chicago BSD IRB at 773-702-6505.If you have any questions about the research study itself, please contact this project's principal investigator: Dr. Omer Raheem, oraheem@bsd.uchicago.edu. Thank you very much for your consideration of this research study.","Are you 18 years of age or older? ","Have you used household items as sex toy alternatives for the purpose of sexual pleasure? ","What is your country of origin?","Please list other country name:","What is your age?","What was your sex assigned at birth?","How would you describe your gender?","Please describe gender here:","What is your employment status?","Please describe other employment:","What is your career field?","Please list other career field:","What is your gross annual household income (i.e before taxes and deductions)?","Do you have access to conventional sex toys (e.g., vibrators, dildos, clitoris suckers, male masturbators, and prostate massagers)?","If no, what is the reason for limited access to conventional sex toys? (select all that apply) (choice=Financial constraints)","If no, what is the reason for limited access to conventional sex toys? (select all that apply) (choice=Lack of awareness/education about existence/benefits of sex toys)","If no, what is the reason for limited access to conventional sex toys? (select all that apply) (choice=Cultural or religious beliefs discouraging/prohibiting use of sex toys)","If no, what is the reason for limited access to conventional sex toys? (select all that apply) (choice=Lack of privacy (i.e. living in shared space))","If no, what is the reason for limited access to conventional sex toys? (select all that apply) (choice=Stigma/Shame (i.e. feelings of embarrassment, fear of judgment))","If no, what is the reason for limited access to conventional sex toys? (select all that apply) (choice=Legal restrictions on sale or possession of sex toys)","If no, what is the reason for limited access to conventional sex toys? (select all that apply) (choice=Other (enter below))","Please list other reason: ","Do you currently own any traditional sex toys?","If so, how would you categorize them? (select all that apply)  (choice=Vibrator)","If so, how would you categorize them? (select all that apply)  (choice=Dildo)","If so, how would you categorize them? (select all that apply)  (choice=Anal toys)","If so, how would you categorize them? (select all that apply)  (choice=Sleeves/ penis sleeves)","If so, how would you categorize them? (select all that apply)  (choice=Penis rings/ cock rings)","What household items have you used for sexual pleasure? (choice=Electric or pulsating toothbrush)","What household items have you used for sexual pleasure? (choice=Showerhead)","What household items have you used for sexual pleasure? (choice=Washing Machine)","What household items have you used for sexual pleasure? (choice=Massage Wand)","What household items have you used for sexual pleasure? (choice=Silk Scarves/Neckties)","What household items have you used for sexual pleasure? (choice=Ice Cubes)","What household items have you used for sexual pleasure? (choice=Produce (banana, cucumber, carrot))","What household items have you used for sexual pleasure? (choice=Furniture)","What household items have you used for sexual pleasure? (choice=Pillow)","What household items have you used for sexual pleasure? (choice=Other)","Please list other household item:","For electric or pulsating toothbrush usage, rate your satisfaction for personal use","For electric or pulsating toothbrush usage, how likely are you to recommend the use of this object to others?","For showerhead usage, rate your satisfaction for personal use","For showerhead usage, how likely are you to recommend the use of this object to others?","For washing machine usage, rate your satisfaction for personal use","For washing machine usage, how likely are you to recommend the use of this object to others?","For massage wand usage, rate your satisfaction for personal use","For massage wand usage, how likely are you to recommend the use of this object to others?","For silk scarves and necktie usage, rate your satisfaction for personal use","For silk scarves and neck tie usage, how likely are you to recommend the use of this object to others?","For ice cube usage, rate your satisfaction for personal use","For ice cube usage, how likely are you to recommend the use of this object to others?","For produce usage, rate your satisfaction for personal use","For produce usage, how likely are you to recommend the use of this object to others?","For furniture usage, rate your satisfaction for personal use","For furniture usage, how likely are you to recommend the use of this object to others?","For pillow usage, rate your satisfaction for personal use","For pillow usage, how likely are you to recommend the use of this object to others?","For usage of item inputted under 'other', rate your satisfaction for personal use","For usage of item inputted under 'other', how likely are you to recommend the use of this object to others?","What is the estimated cost of each of the household item(s) used for sexual pleasure?","What safety concerns have you experienced with the use of household items as alternative sex toys? (select all that apply) (choice=Material safety (allergies & sensitivity))","What safety concerns have you experienced with the use of household items as alternative sex toys? (select all that apply) (choice=Cleanliness & hygiene (infection))","What safety concerns have you experienced with the use of household items as alternative sex toys? (select all that apply) (choice=Lubricant compatibility (trauma/injury))","What safety concerns have you experienced with the use of household items as alternative sex toys? (select all that apply) (choice=Storage & maintenance)","What safety concerns have you experienced with the use of household items as alternative sex toys? (select all that apply) (choice=Power source safety (electric shock, overheating))","What safety concerns have you experienced with the use of household items as alternative sex toys? (select all that apply) (choice=None of the Above)","What safety concerns have you experienced with the use of household items as alternative sex toys? (select all that apply) (choice=Other (enter below))","Please list other concern:",Complete?
12,,"2023-06-24 15:46:31","I consent to participate in this research study",Yes,Yes,"United States",,55-65,Male,Male,,Retired,,"Construction and Maintenance Services:",,"$75,000 - $99,999",Yes,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,,Yes,Checked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,"Regular toothbrush ",,,50,,,,,,,,,,,,,,,,68,,">$5 - $10",Unchecked,Checked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,,Complete
13,,"[not completed]","I consent to participate in this research study",Yes,Yes,,,,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,,,,,,,,,,,,,,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,,Incomplete
14,,"2023-06-24 15:56:07","I consent to participate in this research study",Yes,Yes,"United States",,45-55,Female,Female,,"Full-time employed",,"Arts and Entertainment:",,"$50,000 - $74,999",Yes,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,,Yes,Checked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,,,,69,,,,83,,,,,,,,,,,,,,">$50 - $100",Checked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,,Complete
15,,"2023-06-24 15:56:55","I consent to participate in this research study",Yes,Yes,"United States",,35-45,Male,Male,,"Full-time employed",,"Sales and Marketing:",,"$35,000 - $49,999",Yes,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,,Yes,Unchecked,Checked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,"magic marker",,,,,,,,,,,,,,,,,,,,34,"Less than or equal to $5",Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,,Complete
16,,"[not completed]","I consent to participate in this research study",Yes,,,,,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,,,,,,,,,,,,,,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,,Incomplete
17,,"2023-06-24 16:03:36","I consent to participate in this research study",Yes,Yes,"United States",,55-65,Male,Male,,Retired,,Engineering:,,"Over $100,000",Yes,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,,Yes,Checked,Unchecked,Checked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,,,,,,,,,,,,,,71,,,,,,,,"Less than or equal to $5",Checked,Checked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,,Complete
18,,"2023-06-24 16:04:25","I consent to participate in this research study",Yes,Yes,"Other (enter below)",Uk,35-45,Male,Male,,Self-employed,,Education,,"$75,000 - $99,999",Yes,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,,Yes,Unchecked,Unchecked,Checked,Checked,Checked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,,,,78,,,,,,,,,,76,,,,,,,,">$10 - $20",Unchecked,Checked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,,Complete
19,,"2023-06-24 16:04:29","I consent to participate in this research study",Yes,Yes,"United States",,35-45,Male,Male,,"Full-time employed",,"Transportation and Material Moving:",,"$50,000 - $74,999",Yes,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,,Yes,Checked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Checked,Checked,Checked,Unchecked,Unchecked,Unchecked,,,,90,,,,,,28,,50,,77,,,,,,,,">$20 - $50",Checked,Checked,Checked,Checked,Unchecked,Unchecked,Unchecked,,Complete
20,,"[not completed]","I consent to participate in this research study",,,,,,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,,,,,,,,,,,,,,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,,Incomplete
21,,"[not completed]","I consent to participate in this research study",,,,,,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,,,,,,,,,,,,,,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,,Incomplete
