record_id,redcap_survey_identifier,household_sex_toy_usage_survey_timestamp,consent,screening_age,screening_usage,country_origin,country_name,age,gender_birth,gender_expression,gender_other,employment,employment_other,career,career_other,household_income,access_sextoys,access_no___1,access_no___2,access_no___3,access_no___4,access_no___5,access_no___6,access_no___7,access_no_other,own_trad_sextoys,categorize_sextoys___1,categorize_sextoys___2,categorize_sextoys___3,categorize_sextoys___4,categorize_sextoys___5,household_select___1,household_select___2,household_select___3,household_select___4,household_select___5,household_select___6,household_select___7,household_select___8,household_select___9,household_select___10,householditem_other,toothbrush_satisfaction,household_recommend_1,showerhead_satisfaction,showerhead_recommend,washmachine_satisfaction,washmachine_recommend,massagewand_satisfaction,massagewand_recommend,silktie_satisfaction,silktie_recommend,icecube_satisfaction,icecube_recommend,produce_satisfaction,produce_recommend,furniture_satisfaction,furniture_recommend,pillow_satisfaction,pillow_recommend,other_satisfaction,other_recommend,household_cost,safety_concerns___1,safety_concerns___2,safety_concerns___3,safety_concerns___4,safety_concerns___5,safety_concerns___6,safety_concerns___7,other_concern,household_sex_toy_usage_survey_complete
12,,"2023-06-24 15:46:31",Yes,1,1,1,,5,2,2,,6,,14,,6,1,0,0,0,0,0,0,0,,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,"Regular toothbrush ",,,50,,,,,,,,,,,,,,,,68,,2,0,1,0,1,0,0,0,,2
13,,"[not completed]",Yes,1,1,,,,,,,,,,,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0
14,,"2023-06-24 15:56:07",Yes,1,1,1,,4,1,1,,1,,6,,5,1,0,0,0,0,0,0,0,,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,,,,69,,,,83,,,,,,,,,,,,,,5,1,1,0,0,0,0,0,,2
15,,"2023-06-24 15:56:55",Yes,1,1,1,,3,2,2,,1,,11,,4,1,0,0,0,0,0,0,0,,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,"magic marker",,,,,,,,,,,,,,,,,,,,34,1,0,1,0,0,0,0,0,,2
16,,"[not completed]",Yes,1,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0
17,,"2023-06-24 16:03:36",Yes,1,1,1,,5,2,2,,6,,5,,7,1,0,0,0,0,0,0,0,,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,71,,,,,,,,1,1,1,1,0,0,0,0,,2
18,,"2023-06-24 16:04:25",Yes,1,1,2,Uk,3,2,2,,3,,2,,6,1,0,0,0,0,0,0,0,,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,,,,78,,,,,,,,,,76,,,,,,,,3,0,1,1,0,0,0,0,,2
19,,"2023-06-24 16:04:29",Yes,1,1,1,,3,2,2,,1,,18,,5,1,0,0,0,0,0,0,0,,1,1,0,1,0,0,0,1,0,0,1,1,1,0,0,0,,,,90,,,,,,28,,50,,77,,,,,,,,4,1,1,1,1,0,0,0,,2
20,,"[not completed]",Yes,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0
21,,"[not completed]",Yes,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0
22,,"2023-06-24 16:11:15",Yes,1,1,1,,2,2,2,,1,,4,,7,0,0,1,0,1,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,None,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,2
23,,"2023-06-24 16:12:32",Yes,1,1,1,,6,2,2,,6,,21,"Construction and manufacturing ",6,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,,75,,,,,,50,,,,,,,,,,,,2,0,0,1,0,0,0,0,,2
24,,"2023-06-24 16:14:30",Yes,1,1,1,,3,1,1,,1,,11,,7,1,0,0,0,0,0,0,0,,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,,,,65,,,,,,,,,,,,,,77,,,,4,1,1,0,0,0,0,0,,2
25,,"2023-06-24 16:12:58",Yes,1,2,,,,,,,,,,,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,2
26,,"2023-06-24 16:16:36",Yes,1,1,2,Brazil,1,2,3,,2,,1,,,1,0,0,0,0,0,0,0,,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,"hair brush",,,65,,,,,,,,,,,,,,,,71,,2,1,1,1,0,0,0,0,,2
27,,"[not completed]",Yes,1,1,,,,,,,,,,,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0
28,,"2023-06-24 16:32:11",Yes,1,1,2,,1,2,2,,1,,4,,4,1,0,0,0,0,0,0,0,,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,,,,66,,,,,,,,,,,,,,,,,,6,0,0,0,1,0,0,0,,2
29,,"2023-06-24 16:34:08",Yes,1,2,,,,,,,,,,,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,2
30,,"2023-06-24 16:35:52",Yes,1,2,,,,,,,,,,,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,2
31,,"2023-06-24 16:36:36",Yes,1,2,,,,,,,,,,,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,2
