"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,household_sex_toy_usage_survey,,text,"Record ID",,,,,,,,,,,,,
consent,household_sex_toy_usage_survey,,radio,"<div class=""rich-text-field-label""><p>STUDY TITLE: Household Items for Sexual Pleasure: Investigating Cost, Safety & Effectiveness of Alternative Sex Toys<br /><br /><span style=""font-weight: normal;"">We invite you to participate in a research study being conducted by investigators from The University of Chicago Medical Center. The purpose of the study is to understand what household items are used for sexual pleasure and assess their cost, effectiveness, and safety.</span><br /><span style=""font-weight: normal;"">If you agree to participate, we would like you to agree to consent and complete the screening questions before getting access to the full set of questions. You are free to skip any questions that you prefer not to answer. It will take approximately 15 minutes in total time.</span><br /><br /><span style=""font-weight: normal;"">No personal health information or identifying information will be collected in this survey. To help protect your confidentiality, the surveys you complete will be encrypted on an online database. The only people that will have access to your responses will be the team members while collecting data from the surveys. Taking part in this research study is completely voluntary. If you do not wish to participate in this study, please select the appropriate acknowledgment below.</span><br /><br /><span style=""font-weight: normal;"">For questions about your rights as a research subject, please contact the University of Chicago BSD IRB at 773-702-6505.</span><br /><br /><span style=""font-weight: normal;"">If you have any questions about the research study itself, please contact this project's principal investigator: Dr. Omer Raheem, oraheem@bsd.uchicago.edu. Thank you very much for your consideration of this research study.</span></p></div>","Yes, I consent to participate in this research study | No, I do not consent to participate in this research study",,,,,,,y,LV,,,,
screening_age,household_sex_toy_usage_survey,"<div class=""rich-text-field-label""><p>CONSENT</p></div>",radio,"Are you 18 years of age or older? ","1, Yes | 2, No",,,,,,"[consent] = 'Yes'",y,,,,,
screening_usage,household_sex_toy_usage_survey,,radio,"Have you used household items as sex toy alternatives for the purpose of sexual pleasure? ","1, Yes | 2, No",,,,,,"[screening_age] = '1'",y,,,,,
country_origin,household_sex_toy_usage_survey,DEMOGRAPHICS,radio,"What is your country of origin?","1, United States | 2, Other (enter below)",,,,,,"[screening_usage] = '1'",y,,,,,
country_name,household_sex_toy_usage_survey,,text,"Please list other country name:",,,,,,,"[country_origin] = '2'",,,,,,
age,household_sex_toy_usage_survey,,radio,"What is your age?","1, 18-25 | 2, 25-35 | 3, 35-45 | 4, 45-55 | 5, 55-65 | 6, 65+",,,,,,,y,,,,,
gender_birth,household_sex_toy_usage_survey,,radio,"What was your sex assigned at birth?","1, Female | 2, Male",,,,,,,y,,,,,
gender_expression,household_sex_toy_usage_survey,,radio,"How would you describe your gender?","1, Female | 2, Male | 3, nonbinary | 4, Transfeminine | 5, Transmasculine | 6, Prefer not to say | 7, Not listed (enter below)",,,,,,,y,,,,,
gender_other,household_sex_toy_usage_survey,,text,"Please describe gender here:",,,,,,,"[gender_expression] = '7'",,,,,,
