"","record_id","redcap_survey_identifier","household_sex_toy_usage_survey_timestamp","consent","screening_age","screening_usage","country_origin","country_name","age","gender_birth","gender_expression","gender_other","employment","employment_other","career","career_other","household_income","access_sextoys","access_no___1","access_no___2","access_no___3","access_no___4","access_no___5","access_no___6","access_no___7","access_no_other","own_trad_sextoys","categorize_sextoys___1","categorize_sextoys___2","categorize_sextoys___3","categorize_sextoys___4","categorize_sextoys___5","household_select___1","household_select___2","household_select___3","household_select___4","household_select___5","household_select___6","household_select___7","household_select___8","household_select___9","household_select___10","householditem_other","toothbrush_satisfaction","household_recommend_1","showerhead_satisfaction","showerhead_recommend","washmachine_satisfaction","washmachine_recommend","massagewand_satisfaction","massagewand_recommend","silktie_satisfaction","silktie_recommend","icecube_satisfaction","icecube_recommend","produce_satisfaction","produce_recommend","furniture_satisfaction","furniture_recommend","pillow_satisfaction","pillow_recommend","other_satisfaction","other_recommend","household_cost","safety_concerns___1","safety_concerns___2","safety_concerns___3","safety_concerns___4","safety_concerns___5","safety_concerns___6","safety_concerns___7","other_concern","household_sex_toy_usage_survey_complete","household_sum","traditional_sum","total_toys","household_toy","superuser"
"1",12,NA,"2023-06-24 15:46:31","Yes",1,1,1,"",5,2,2,"",6,"",14,"",6,1,0,0,0,0,0,0,0,"",1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,"Regular toothbrush ",NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,NA,2,0,1,0,1,0,0,0,NA,2,2,2,3,TRUE,FALSE
"2",14,NA,"2023-06-24 15:56:07","Yes",1,1,1,"",4,1,1,"",1,"",6,"",5,1,0,0,0,0,0,0,0,"",1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,"",NA,NA,69,NA,NA,NA,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,1,0,0,0,0,0,NA,2,2,2,4,TRUE,FALSE
"3",15,NA,"2023-06-24 15:56:55","Yes",1,1,1,"",3,2,2,"",1,"",11,"",4,1,0,0,0,0,0,0,0,"",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,"magic marker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,1,0,1,0,0,0,0,0,NA,2,1,2,2,TRUE,FALSE
"4",17,NA,"2023-06-24 16:03:36","Yes",1,1,1,"",5,2,2,"",6,"",5,"",7,1,0,0,0,0,0,0,0,"",1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,0,0,0,0,NA,2,3,3,4,TRUE,TRUE
"5",19,NA,"2023-06-24 16:04:29","Yes",1,1,1,"",3,2,2,"",1,"",18,"",5,1,0,0,0,0,0,0,0,"",1,1,0,1,0,0,0,1,0,0,1,1,1,0,0,0,"",NA,NA,90,NA,NA,NA,NA,NA,28,NA,50,NA,77,NA,NA,NA,NA,NA,NA,NA,4,1,1,1,1,0,0,0,NA,2,5,2,6,TRUE,TRUE
"6",22,NA,"2023-06-24 16:11:15","Yes",1,1,1,"",2,2,2,"",1,"",4,"",7,0,0,1,0,1,1,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,2,0,0,0,FALSE,FALSE
"7",23,NA,"2023-06-24 16:12:32","Yes",1,1,1,"",6,2,2,"",6,"",21,"Construction and manufacturing ",6,1,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,"",NA,NA,75,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,1,0,0,0,0,NA,2,2,0,2,TRUE,FALSE
"8",24,NA,"2023-06-24 16:14:30","Yes",1,1,1,"",3,1,1,"",1,"",11,"",7,1,0,0,0,0,0,0,0,"",1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,"",NA,NA,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,NA,NA,NA,4,1,1,0,0,0,0,0,NA,2,2,3,4,TRUE,FALSE
"9",32,NA,"2023-06-24 16:44:12","Yes",1,1,1,"",2,2,1,"",3,"",6,"",7,1,0,0,0,0,0,0,0,"",1,1,1,1,0,1,1,1,0,1,0,1,1,0,1,1,"wood carving",95,NA,88,NA,NA,NA,89,NA,NA,NA,67,NA,63,NA,NA,NA,NA,30,72,NA,4,1,1,1,0,1,0,0,NA,2,7,4,9,TRUE,TRUE
"10",37,NA,"[not completed]","Yes",1,1,1,"",1,2,2,"",1,"",21,"",NA,1,0,0,0,0,0,0,0,"",1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1," brush",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,0,5,5,7,TRUE,TRUE
"11",40,NA,"2023-06-24 17:16:43","Yes",1,1,1,"",1,1,1,"",2,"",13,"",5,1,0,0,0,0,0,0,0,"",1,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"",100,NA,84,NA,NA,NA,NA,NA,NA,NA,63,NA,31,NA,NA,NA,NA,NA,NA,NA,3,1,1,1,0,0,0,0,NA,2,4,2,6,TRUE,TRUE
"12",41,NA,"2023-06-24 17:26:01","Yes",1,1,1,"",2,2,2,"",2,"",6,"",1,1,0,0,0,0,0,0,0,"",1,0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,"",NA,NA,78,NA,NA,NA,NA,NA,NA,NA,92,NA,NA,NA,78,NA,80,NA,NA,NA,NA,1,0,0,0,0,0,0,NA,2,4,3,5,TRUE,TRUE
"13",43,NA,"2023-06-24 17:26:49","Yes",1,1,1,"",2,2,2,"",1,"",5,"",6,0,0,0,0,1,0,0,0,"",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"",NA,NA,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,0,0,0,0,0,0,NA,2,1,0,1,TRUE,FALSE
"14",45,NA,"[not completed]","Yes",1,1,1,"",2,1,1,"",1,"",4,"",7,1,0,0,0,0,0,0,0,"",1,1,1,1,0,0,1,1,0,0,0,1,0,1,1,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,0,4,3,6,TRUE,TRUE
"15",46,NA,"2023-06-24 17:34:28","Yes",1,1,1,"",2,1,3,"",4,"",21,"disabled ",3,1,0,0,0,0,0,0,0,"",1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,"",78,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,78,NA,100,NA,NA,NA,1,0,1,0,0,0,0,0,NA,2,2,1,3,TRUE,FALSE
"16",47,NA,"2023-06-24 17:34:44","Yes",1,1,1,"",1,1,5,"",5,"",8,"",6,1,0,0,0,0,0,0,0,"",1,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,"",52,NA,100,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,56,NA,NA,NA,NA,NA,4,0,1,0,1,0,0,0,NA,2,3,2,5,TRUE,TRUE
"17",49,NA,"2023-06-24 17:41:12","Yes",1,1,1,"",3,2,1,"",1,"",6,"",7,1,0,0,0,0,0,0,0,"",1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,"small plastic bottle",NA,NA,NA,NA,NA,NA,69,NA,NA,NA,79,NA,74,NA,NA,NA,NA,NA,72,NA,1,0,0,0,0,0,0,0,NA,2,8,5,10,TRUE,TRUE
"18",50,NA,"2023-06-24 17:41:49","Yes",1,1,1,"",1,1,1,"",1,"",2,"",4,1,0,0,0,0,0,0,0,"",1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,"",77,NA,100,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,1,0,0,0,0,NA,2,4,3,6,TRUE,TRUE
"19",53,NA,"2023-06-24 17:50:45","Yes",1,1,1,"",5,2,2,"",1,"",3,"",7,1,0,0,0,0,0,0,0,"",1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,"",NA,NA,NA,NA,NA,NA,79,NA,NA,NA,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,1,0,0,0,0,0,NA,2,4,4,6,TRUE,TRUE
"20",56,NA,"2023-06-24 17:53:29","Yes",1,1,1,"",3,2,2,"",1,"",13,"",5,1,0,0,0,0,0,0,0,"",1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,2,1,1,0,1,0,0,0,NA,2,3,4,4,TRUE,TRUE
"21",57,NA,"2023-06-24 18:11:45","Yes",1,1,1,"",4,1,1,"",1,"",11,"",4,1,0,0,0,0,0,0,0,"",1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,"plastic bottles ",NA,NA,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,NA,NA,NA,NA,32,NA,1,0,1,0,0,0,0,0,NA,2,3,3,5,TRUE,TRUE
